"original_roadmap_stage","original_roadmap_title","original_release","original_objective","actual_repository_stage_or_stages","actual_repository_commit","actual_implementation","current_status","completed_components","missing_components","upstream_gate","downstream_gate","required_datasets","required_annotations","required_models","required_configs","required_source_modules","required_launchers","required_tests","required_reports","required_local_artifacts","long_running_commands","resume_policy","test_set_policy","leakage_policy","current_blocker","next_safe_action"
"10","Multi-View Fusion","Release 2","Deliver Multi-View Fusion under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES UPSTREAM RESULT","No implementation is claimed.","WAITING_FOR_UPSTREAM_GATE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 9 applicable gate plus mapped actual-stage gates","Original Stage 11 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"11","Previous-Study Comparison","Release 2","Deliver Previous-Study Comparison under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES DATA ACCESS","No implementation is claimed.","WAITING_FOR_DATA","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 10 applicable gate plus mapped actual-stage gates","Original Stage 12 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"12","Severity Analysis","Release 2","Deliver Severity Analysis under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES ANNOTATION AUDIT","No implementation is claimed.","WAITING_FOR_ANNOTATIONS","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 11 applicable gate plus mapped actual-stage gates","Original Stage 13 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"13","Calibration, Uncertainty, and OOD","Release 2","Deliver Calibration, Uncertainty, and OOD under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES UPSTREAM RESULT","No implementation is claimed.","WAITING_FOR_UPSTREAM_GATE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 12 applicable gate plus mapped actual-stage gates","Original Stage 14 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"14","Research Triage","Release 2","Deliver Research Triage under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES UPSTREAM RESULT","No implementation is claimed.","WAITING_FOR_UPSTREAM_GATE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 13 applicable gate plus mapped actual-stage gates","Original Stage 15 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"15","Medical LLM Report Generation","Release 2","Deliver Medical LLM Report Generation under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES LICENSE VERIFICATION","No implementation is claimed.","WAITING_FOR_LICENSE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 14 applicable gate plus mapped actual-stage gates","Original Stage 16 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"16","Anatomical and Textual Verifier","Release 2","Deliver Anatomical and Textual Verifier under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES UPSTREAM RESULT","No implementation is claimed.","WAITING_FOR_UPSTREAM_GATE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 15 applicable gate plus mapped actual-stage gates","Original Stage 17 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"17","Accept, Revise, or Defer","Release 2","Deliver Accept, Revise, or Defer under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES UPSTREAM RESULT","No implementation is claimed.","WAITING_FOR_UPSTREAM_GATE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 16 applicable gate plus mapped actual-stage gates","Original Stage 18 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"18","Backend API and GPU Worker","Release 3","Deliver Backend API and GPU Worker under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES UPSTREAM RESULT","No implementation is claimed.","WAITING_FOR_UPSTREAM_GATE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 17 applicable gate plus mapped actual-stage gates","Original Stage 19 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"19","UI and Medical Image Viewer","Release 3","Deliver UI and Medical Image Viewer under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES UPSTREAM RESULT","No implementation is claimed.","WAITING_FOR_UPSTREAM_GATE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 18 applicable gate plus mapped actual-stage gates","Original Stage 20 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"20","DICOM and Orthanc Integration","Release 3","Deliver DICOM and Orthanc Integration under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES LICENSE VERIFICATION","No implementation is claimed.","WAITING_FOR_LICENSE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 19 applicable gate plus mapped actual-stage gates","Original Stage 21 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
"21","Human Feedback and Active Learning","Release 3","Deliver Human Feedback and Active Learning under the documented research-only safety contract.","Unassigned future actual stage","UNRESOLVED — REQUIRES UPSTREAM RESULT","No implementation is claimed.","WAITING_FOR_UPSTREAM_GATE","Specification and dependency accounting only.","See the stage specification for unresolved evidence.","Original Stage 20 applicable gate plus mapped actual-stage gates","Original Stage 22 applicable gate","See stage specification; access, identity, and license must be verified locally.","See stage specification; unavailable labels must never be treated as negatives.","See stage specification; no arbitrary future model contract is frozen.","Tracked frozen configuration only when the scientific contract is resolved.","Mapped repository modules or unresolved future modules listed in the specification.","No runnable future launcher is claimed unless registered by scripts/project/run_stage.ps1.","Contract, leakage, test-locking, metrics, resume, and failure/refusal tests.","Aggregate stage report, limitations, gate, and reproducibility evidence.","Ignored checkpoints, patient-level outputs, databases, logs, embeddings, and recovery evidence.","UNRESOLVED — REQUIRES UPSTREAM RESULT unless historical completion is mapped.","Exact complete fingerprint only; quarantine incompatible state; never mix protocols.","Locked during selection; one frozen evaluation with no post-test tuning.","Zero prohibited patient, study, image, duplicate, temporal, and checkpoint-exposure leakage.","See stage specification and upstream evidence.","Satisfy the upstream gate and resolve documented evidence before implementation."
